Rotation,LED_no,s1,s2,s3,s4,t
1,15,1728.0,1824.0,1952.0,2016.0,73
1,15,512.0,3392.0,1920.0,2976.0,74
1,15,1632.0,2528.0,2016.0,3424.0,75
1,15,1856.0,2080.0,2048.0,2752.0,76
1,15,1792.0,2048.0,1920.0,2432.0,77
1,15,1824.0,2016.0,1952.0,2240.0,78
1,15,1728.0,1952.0,2016.0,2112.0,79
1,15,1760.0,2016.0,2048.0,2016.0,80
1,15,1728.0,1856.0,2016.0,2080.0,81
1,15,1632.0,1824.0,1888.0,2080.0,82
1,15,1728.0,1792.0,2016.0,2080.0,83
1,15,1728.0,1824.0,1984.0,1984.0,84
1,15,1728.0,1824.0,1984.0,2016.0,85
1,15,1376.0,4353.0,0.0,4193.0,86
1,15,1664.0,2464.0,1984.0,3840.0,87
1,15,1888.0,2144.0,2080.0,2944.0,88
1,15,1856.0,2048.0,1952.0,2528.0,89
1,15,1824.0,2016.0,1984.0,2336.0,90
1,15,1760.0,1952.0,2048.0,2144.0,91
1,15,1760.0,1888.0,2016.0,2080.0,92
1,15,1760.0,1824.0,2048.0,1984.0,93
1,15,1728.0,2048.0,2144.0,1984.0,94
1,15,1728.0,1824.0,2016.0,1952.0,95
1,15,1728.0,1824.0,1984.0,2016.0,96
1,15,1728.0,1792.0,1952.0,2016.0,97
1,15,2400.0,2464.0,3680.0,6049.0,98
1,15,1792.0,2336.0,2144.0,3744.0,99
1,16,1728.0,1824.0,2016.0,2144.0,0
1,16,1696.0,1792.0,2048.0,2016.0,1
1,16,1696.0,1792.0,2016.0,1984.0,2
1,16,1728.0,1792.0,1984.0,2016.0,3
1,16,4129.0,4417.0,1984.0,4257.0,4
1,16,1664.0,2336.0,2016.0,3360.0,5
1,16,1856.0,2144.0,1952.0,2784.0,6
1,16,1824.0,2080.0,2080.0,2400.0,7
1,16,1824.0,2080.0,2048.0,2272.0,8
1,16,1728.0,1920.0,2048.0,2048.0,9
1,16,1760.0,1888.0,2016.0,1984.0,10
1,16,1760.0,1856.0,2112.0,2080.0,11
1,16,1792.0,1856.0,2080.0,2048.0,12
1,16,1728.0,1824.0,2016.0,2016.0,13
1,16,1728.0,1792.0,2016.0,1984.0,14
1,16,0.0,8258.0,4032.0,10978.0,15
1,16,2080.0,2880.0,1440.0,3296.0,16
1,16,1856.0,2208.0,1920.0,2624.0,17
1,16,1920.0,2112.0,2016.0,2432.0,18
1,16,1920.0,2016.0,2080.0,2176.0,19
1,16,1792.0,1984.0,1952.0,2080.0,20
1,16,1760.0,1920.0,1952.0,2016.0,21
1,16,1728.0,1856.0,2016.0,2080.0,22
1,16,1728.0,1824.0,2048.0,2048.0,23
1,16,1696.0,1824.0,2016.0,1984.0,24
1,16,1728.0,1824.0,1984.0,2016.0,25
1,16,1728.0,1824.0,1984.0,1984.0,26
1,16,1888.0,1792.0,1984.0,1952.0,27
1,16,1760.0,1792.0,1952.0,1984.0,28
1,16,2496.0,2560.0,1792.0,3456.0,29
1,16,1760.0,1888.0,1984.0,2400.0,30
1,16,1760.0,2048.0,1920.0,2336.0,31
1,16,1728.0,1920.0,2016.0,2112.0,32
1,16,1728.0,1888.0,1984.0,2048.0,33
1,16,1728.0,1824.0,2016.0,2080.0,34
1,16,1696.0,1856.0,2016.0,2016.0,35
1,16,1696.0,1824.0,2016.0,2208.0,36
1,16,1728.0,1792.0,2080.0,2016.0,37
1,16,1728.0,1824.0,1984.0,2016.0,38
1,16,1728.0,1792.0,1984.0,1984.0,39
1,16,1696.0,1792.0,1984.0,1984.0,40
1,16,1760.0,2112.0,1952.0,3072.0,41
1,16,1536.0,1888.0,1952.0,2208.0,42
1,16,1568.0,1984.0,1952.0,2176.0,43
1,16,1760.0,1888.0,2016.0,1984.0,44
1,16,1696.0,1856.0,2016.0,2112.0,45
1,16,1760.0,1856.0,2016.0,2080.0,46
1,16,1728.0,1824.0,2016.0,2016.0,47
1,16,1760.0,1824.0,2016.0,2016.0,48
1,16,1728.0,1792.0,2016.0,2016.0,49
1,16,1728.0,1792.0,1984.0,1984.0,50
1,16,1760.0,1824.0,1984.0,1984.0,51
1,16,1664.0,1792.0,1920.0,1984.0,52
1,16,832.0,4161.0,5825.0,5121.0,53
1,16,1472.0,2112.0,2048.0,3104.0,54
1,16,1824.0,1984.0,1888.0,2400.0,55
1,16,1760.0,1888.0,2016.0,2208.0,56
1,16,1728.0,1888.0,2080.0,2112.0,57
1,16,1728.0,1824.0,2016.0,1984.0,58
1,16,1632.0,1696.0,2016.0,2048.0,59
1,16,1696.0,1824.0,1824.0,2080.0,60
1,16,1760.0,1664.0,2016.0,2016.0,61
1,16,1728.0,1824.0,1920.0,2016.0,62
1,16,1728.0,1760.0,1984.0,1984.0,63
1,16,1952.0,1760.0,1952.0,2016.0,64
1,16,960.0,2272.0,1888.0,3168.0,65
1,16,1600.0,1984.0,1888.0,2400.0,66
1,16,1760.0,2016.0,1792.0,2272.0,67
1,16,1760.0,1856.0,1984.0,1984.0,68
1,16,1792.0,1888.0,1888.0,2112.0,69
1,16,1728.0,1824.0,1984.0,2080.0,70
1,16,1760.0,1824.0,1952.0,2016.0,71
1,16,1728.0,1824.0,2016.0,2016.0,72
1,16,1696.0,1792.0,2016.0,2016.0,73
1,16,1760.0,1792.0,2016.0,1984.0,74
1,16,1728.0,1792.0,2016.0,1984.0,75
1,16,1728.0,4641.0,0.0,14403.0,76
1,16,1760.0,2496.0,1984.0,3136.0,77
1,16,1728.0,2080.0,1952.0,2432.0,78
1,16,1824.0,2112.0,1984.0,2208.0,79
1,16,1760.0,1952.0,2016.0,2048.0,80
1,16,1760.0,1888.0,1984.0,1984.0,81
1,16,1760.0,1888.0,1632.0,2080.0,82
1,16,1696.0,1888.0,2016.0,1952.0,83
1,16,1760.0,1792.0,2016.0,1888.0,84
1,16,1728.0,1824.0,2016.0,1984.0,85
1,16,1696.0,1856.0,1984.0,1952.0,86
1,16,1728.0,1824.0,1984.0,1984.0,87
1,16,1728.0,1760.0,1984.0,1952.0,88
1,16,1408.0,4097.0,1280.0,3104.0,89
1,16,1856.0,2176.0,1920.0,2688.0,90
1,16,1664.0,1856.0,2016.0,2304.0,91
1,16,1728.0,1952.0,1984.0,2112.0,92
1,16,1696.0,1824.0,2112.0,2144.0,93
1,16,1984.0,1856.0,1984.0,2080.0,94
1,16,1728.0,1824.0,1984.0,2016.0,95
1,16,1728.0,1504.0,2048.0,1984.0,96
1,16,1824.0,1824.0,1952.0,1952.0,97
1,16,1728.0,1792.0,2080.0,2016.0,98
1,16,1728.0,1824.0,1952.0,1984.0,99
1,17,1760.0,1824.0,2016.0,2144.0,0
1,17,1728.0,1888.0,2048.0,1984.0,1
1,17,1760.0,1856.0,2048.0,2048.0,2
1,17,1728.0,1792.0,2016.0,2016.0,3
1,17,1728.0,1792.0,1984.0,2080.0,4
1,17,1728.0,1824.0,1952.0,2016.0,5
1,17,1696.0,1792.0,0.0,3392.0,6
1,17,2784.0,3552.0,1024.0,3360.0,7
1,17,2112.0,2496.0,1440.0,2400.0,8
1,17,2112.0,2336.0,1568.0,2304.0,9
1,17,1952.0,2016.0,1760.0,2080.0,10
1,17,1856.0,2048.0,1824.0,1984.0,11
1,17,1824.0,1952.0,1888.0,2112.0,12
1,17,1792.0,1888.0,2016.0,2048.0,13
1,17,1792.0,1920.0,1984.0,2048.0,14
1,17,1728.0,1792.0,1952.0,2016.0,15
1,17,1760.0,1824.0,1984.0,1984.0,16
1,17,1760.0,1792.0,1984.0,1984.0,17
1,17,1792.0,1824.0,2048.0,1984.0,18
1,17,1760.0,1824.0,1984.0,1984.0,19
1,17,1728.0,1792.0,1984.0,1984.0,20
1,17,1696.0,1792.0,1984.0,2016.0,21
1,17,1696.0,1824.0,2016.0,1984.0,22
1,17,1664.0,4737.0,4129.0,5793.0,23
1,17,2400.0,2240.0,3104.0,4289.0,24
1,17,2240.0,2272.0,2656.0,3616.0,25
1,17,2112.0,2016.0,2400.0,2944.0,26
1,17,2240.0,2016.0,2272.0,2656.0,27
1,17,1888.0,1952.0,2176.0,2272.0,28
1,17,1856.0,1920.0,2048.0,2176.0,29
1,17,1824.0,1888.0,2016.0,2080.0,30
1,17,1792.0,1856.0,2112.0,1984.0,31
1,17,1792.0,1856.0,2080.0,1984.0,32
1,17,1952.0,2048.0,1696.0,3680.0,33
1,17,1600.0,1664.0,2016.0,2752.0,34
1,17,1760.0,1792.0,2016.0,2368.0,35
1,17,1760.0,1760.0,2016.0,2208.0,36
1,17,1760.0,1888.0,2016.0,2112.0,37
1,17,1728.0,1792.0,2048.0,2016.0,38
1,17,1760.0,1792.0,2016.0,2080.0,39
1,17,1696.0,1792.0,2016.0,2048.0,40
1,17,1728.0,1792.0,2016.0,2016.0,41
1,17,1728.0,1792.0,2016.0,1984.0,42
1,17,1888.0,1824.0,1984.0,2016.0,43
1,17,1728.0,1792.0,1984.0,1984.0,44
1,17,32.0,2240.0,3424.0,8418.0,45
1,17,1792.0,2016.0,2304.0,4417.0,46
1,17,1856.0,1984.0,2080.0,3584.0,47
1,17,1824.0,1920.0,2112.0,2944.0,48
1,17,1728.0,1920.0,2080.0,2656.0,49
1,17,1760.0,1888.0,2048.0,2336.0,50
1,17,1760.0,1856.0,2080.0,2176.0,51
1,17,1728.0,1824.0,2048.0,2048.0,52
1,17,1728.0,1792.0,2016.0,1984.0,53
1,17,1760.0,1888.0,1984.0,2112.0,54
1,17,1728.0,1856.0,2016.0,2048.0,55
1,17,1728.0,1792.0,2016.0,2016.0,56
1,17,1760.0,1824.0,2048.0,2016.0,57
1,17,5153.0,1696.0,0.0,0.0,58
1,17,1888.0,2400.0,1504.0,5089.0,59
1,17,1792.0,1952.0,2016.0,3776.0,60
1,17,1856.0,1984.0,2016.0,3136.0,61
1,17,1696.0,2144.0,1952.0,2688.0,62
1,17,1824.0,1888.0,2016.0,2368.0,63
1,17,1760.0,1888.0,2048.0,2240.0,64
1,17,1760.0,1824.0,2016.0,2112.0,65
1,17,1728.0,1824.0,1984.0,2016.0,66
1,17,1760.0,1856.0,1984.0,2080.0,67
1,17,1824.0,1792.0,1984.0,2048.0,68
1,17,1696.0,1760.0,2080.0,2016.0,69
1,17,1760.0,2080.0,2016.0,2112.0,70
1,17,4129.0,3264.0,3488.0,10050.0,71
1,17,1920.0,2304.0,1632.0,4609.0,72
1,17,1792.0,2048.0,2080.0,3392.0,73
1,17,1824.0,1888.0,2016.0,2656.0,74
1,17,1760.0,1888.0,1984.0,2432.0,75
1,17,1728.0,1824.0,2048.0,2240.0,76
1,17,1760.0,1824.0,2016.0,2112.0,77
1,17,1760.0,1856.0,2016.0,2176.0,78
1,17,1696.0,1792.0,2016.0,2112.0,79
1,17,1696.0,1824.0,2016.0,2080.0,80
1,17,1728.0,1856.0,2016.0,2048.0,81
1,17,1728.0,1760.0,1984.0,1984.0,82
1,17,32.0,864.0,4577.0,5217.0,83
1,17,1792.0,2016.0,1888.0,3456.0,84
1,17,1728.0,1792.0,2080.0,2816.0,85
1,17,1728.0,1696.0,2016.0,2432.0,86
1,17,1728.0,1760.0,2080.0,2240.0,87
1,17,1728.0,1920.0,1984.0,2112.0,88
1,17,1696.0,1792.0,2016.0,2016.0,89
1,17,1728.0,1760.0,2016.0,2080.0,90
1,17,1728.0,1888.0,2016.0,2080.0,91
1,17,1728.0,1792.0,2016.0,2016.0,92
1,17,1728.0,1792.0,1984.0,2016.0,93
1,17,1728.0,1792.0,1984.0,2016.0,94
1,17,2240.0,4481.0,2656.0,6817.0,95
1,17,1824.0,2080.0,1856.0,4000.0,96
1,17,1728.0,1888.0,2080.0,3168.0,97
1,17,1696.0,1824.0,2080.0,2656.0,98
1,17,1728.0,1760.0,2080.0,2272.0,99
1,18,1728.0,1760.0,1920.0,2016.0,0
1,18,13731.0,0.0,6017.0,0.0,1
1,18,2592.0,3264.0,1824.0,5793.0,2
1,18,2112.0,2208.0,2208.0,4097.0,3
1,18,2112.0,1984.0,2112.0,3232.0,4
1,18,1984.0,2016.0,1984.0,2720.0,5
1,18,1664.0,1952.0,2016.0,2464.0,6
1,18,1824.0,1952.0,2080.0,2240.0,7
1,18,1760.0,1888.0,2016.0,2112.0,8
1,18,1760.0,2080.0,2016.0,2016.0,9
1,18,1760.0,1760.0,2016.0,2080.0,10
1,18,1760.0,1824.0,1984.0,2080.0,11
1,18,1728.0,1888.0,2016.0,2016.0,12
1,18,1728.0,1792.0,2016.0,2016.0,13
1,18,5281.0,4193.0,4577.0,9378.0,14
1,18,2048.0,2592.0,2336.0,4961.0,15
1,18,1920.0,2016.0,2272.0,3808.0,16
1,18,1984.0,1920.0,2112.0,3104.0,17
1,18,2112.0,1920.0,1920.0,2688.0,18
1,18,1760.0,1888.0,2080.0,2400.0,19
1,18,1760.0,1920.0,2080.0,2240.0,20
1,18,1760.0,1856.0,1920.0,2080.0,21
1,18,1664.0,1824.0,2048.0,1984.0,22
1,18,1760.0,1792.0,2016.0,2112.0,23
1,18,1728.0,1824.0,2016.0,2080.0,24
1,18,1728.0,1824.0,2016.0,2048.0,25
1,18,1696.0,1792.0,1984.0,2016.0,26
1,18,2880.0,2368.0,2240.0,4289.0,27
1,18,1824.0,1952.0,1984.0,4577.0,28
1,18,1888.0,1728.0,2144.0,3552.0,29
1,18,1824.0,1792.0,2080.0,2944.0,30
1,18,1792.0,1888.0,2016.0,2560.0,31
1,18,1760.0,1792.0,2144.0,2336.0,32
1,18,1760.0,1824.0,2016.0,2272.0,33
1,18,1728.0,1792.0,2016.0,2048.0,34
1,18,1696.0,1792.0,1984.0,2016.0,35
1,18,1760.0,1792.0,2016.0,2112.0,36
1,18,1760.0,1728.0,2016.0,2080.0,37
1,18,1728.0,1792.0,2016.0,2240.0,38
